date,open,high,low,close,volume,adjusted_close,currency
2022-07-06,117.64908137096914,119.15212011633508,117.32699968959386,118.17693328857422,1023200,118.17693328857422,USD
2022-07-07,117.5506874686339,119.30424662632105,117.26440017545708,118.9016342163086,885300,118.9016342163086,USD
2022-07-08,119.68894441855736,119.99312892416076,118.00696054967736,118.05169677734376,568800,118.05169677734376,USD
2022-07-11,118.40061974193644,119.62632687551044,118.13221602245991,119.02688598632812,598300,119.02688598632812,USD
2022-07-12,118.73164556592197,120.69991656803252,118.50797809632806,119.08950805664062,590300,119.08950805664062,USD
2022-07-13,118.66901890560638,121.85404167044848,118.64217989984712,120.45835876464844,900800,120.45835876464844,USD
2022-07-14,118.66900475527184,119.33106533874064,117.83696837278929,118.8031997680664,569700,118.8031997680664,USD
2022-07-15,119.3310743189244,119.3310743189244,117.37174507520692,117.90853881835938,500600,117.90853881835938,USD
2022-07-18,117.87275867192798,118.55270287759222,116.80809931257404,116.81705474853516,552900,116.81705474853516,USD
2022-07-19,117.35385118416316,117.70277190516346,116.26235279506896,117.36279296875,661800,117.36279296875,USD
2022-07-20,117.58645120162664,117.60434842097256,114.58931541116011,115.79711151123048,617800,115.79711151123048,USD
2022-07-21,115.25139243571252,115.85976146438855,114.65195154061412,115.17981719970705,539300,115.17981719970705,USD
2022-07-22,115.44818755618068,116.7991477212745,114.78614062644756,116.47706604003906,492800,116.47706604003906,USD
2022-07-25,116.90651729767536,117.4701637181407,115.97606658367476,116.75442504882812,511300,116.75442504882812,USD
2022-07-26,115.25138111072935,116.93335121105092,113.15785003092248,116.79915618896484,855900,116.79915618896484,USD
2022-07-27,116.18182664348645,116.46811389512904,112.57630825946444,115.79711151123048,719800,115.79711151123048,USD
2022-07-28,115.78816415402837,117.2643775184966,114.9203333538319,117.20174407958984,697600,117.20174407958984,USD
2022-07-29,116.78123922064212,118.55268147051568,116.1728703546241,118.38270568847656,970500,118.38270568847656,USD
2022-08-01,118.25746183491324,120.53887282963042,118.25746183491324,119.93050384521484,963300,119.93050384521484,USD
2022-08-02,120.06469524967169,120.06469524967169,119.062669351876,119.84998321533205,617000,119.84998321533205,USD
2022-08-03,119.54579601647691,120.3599489587021,118.5885062554578,120.08260345458984,511800,120.08260345458984,USD
2022-08-04,119.581579220063,120.78043358070738,118.91951859549664,119.08950805664062,755200,119.08950805664062,USD
2022-08-05,119.46525124717068,119.46525124717068,116.91543698576854,119.06265258789062,555200,119.06265258789062,USD
2022-08-08,119.06269447061564,120.35996334089305,118.84796873939617,119.13426971435548,593000,119.13426971435548,USD
2022-08-09,119.66209214169496,120.81621023864744,119.27739065990365,120.0915298461914,670000,120.0915298461914,USD
2022-08-10,120.72673769451984,121.09355556671282,119.25052442285676,119.9573211669922,704700,119.9573211669922,USD
2022-08-11,120.19174500068574,121.34569998441376,119.36232695966702,119.59673309326172,597700,119.59673309326172,USD
2022-08-12,119.97537828875218,120.70561395277494,119.38036635650064,120.6154556274414,809900,120.6154556274414,USD
2022-08-15,120.66954799539482,122.99547850950113,120.06551203133948,122.50865936279295,781000,122.50865936279295,USD
2022-08-16,122.7520630682844,125.05096235599642,122.43652274706308,123.98715209960938,773600,123.98715209960938,USD
2022-08-17,125.41158232544464,126.6647059119759,124.6002124875744,125.65499877929688,824500,125.65499877929688,USD
2022-08-18,125.65500349185436,125.97053010453608,124.13141865014993,125.60091400146484,589000,125.60091400146484,USD
2022-08-19,126.04263923810495,126.89908816676191,125.42058265907431,126.00658416748048,1865600,126.00658416748048,USD
2022-08-22,125.76316761494547,126.15081808775894,123.32904454138549,124.18549346923828,928800,124.18549346923828,USD
2022-08-23,127.28675885789072,129.21602850557176,125.08702802000204,128.33253479003906,1959000,128.33253479003906,USD
2022-08-24,129.2340650072141,130.63142262610577,128.33253686277934,129.937255859375,1056700,129.937255859375,USD
2022-08-25,129.50450898618823,129.6577808721283,128.35957817782392,129.49549865722656,727400,129.49549865722656,USD
2022-08-26,129.7118920885093,129.82007107908169,127.62936398261245,127.64738464355467,686000,127.64738464355467,USD
2022-08-29,127.458085620015,128.70218541898802,126.62868116862258,128.01702880859375,460300,128.01702880859375,USD
2022-08-30,127.7826270864925,128.09815373995758,126.3942657913093,126.94419860839844,663200,126.94419860839844,USD
2022-08-31,127.22365064191456,128.0079895021602,126.0696956875928,126.2049331665039,927300,126.2049331665039,USD
2022-09-01,125.85331372797552,128.42266026251122,125.08700942898344,128.00796508789062,871400,128.00796508789062,USD
2022-09-02,128.48580608257907,129.32422072625403,125.88940040059138,126.21395111083984,632200,126.21395111083984,USD
2022-09-06,126.3401461544778,127.60227997970657,124.5100452297826,124.97884368896484,791700,124.97884368896484,USD
2022-09-07,125.27636268005432,127.20563244631678,124.46497905956004,127.04335021972656,632100,127.04335021972656,USD
2022-09-08,126.03363758434044,126.80895234028672,123.90603060915498,124.98786163330078,788200,124.98786163330078,USD
2022-09-09,125.66400439977464,126.7458353951396,124.14041967230187,125.7090835571289,558400,125.7090835571289,USD
2022-09-12,126.17786258990034,127.6202991093822,125.1140524164156,127.4760513305664,741800,127.4760513305664,USD
2022-09-13,127.44902801510496,128.314501077256,125.18619734899144,125.61892700195312,999400,125.61892700195312,USD
